CrimeDate,District,Location,Value
2011-01-17,SOUTHERN,Outside,11
2011-01-17,SOUTHWESTERN,Inside,4
2011-01-17,SOUTHWESTERN,Outside,9
2011-01-17,WESTERN,Inside,7
2011-01-17,WESTERN,Outside,1
2011-01-18,CENTRAL,Inside,5
2011-01-18,CENTRAL,Outside,6
2011-01-18,EASTERN,Inside,7
2011-01-18,EASTERN,Outside,5
2011-01-18,NORTHEASTERN,Inside,7
2011-01-18,NORTHEASTERN,Outside,9
2011-01-18,NORTHERN,Inside,5
2011-01-18,NORTHERN,Outside,6
2011-01-18,NORTHWESTERN,Inside,7
2011-01-18,NORTHWESTERN,Outside,1
2011-01-18,SOUTHEASTERN,Inside,12
2011-01-18,SOUTHEASTERN,Outside,10
2011-01-18,SOUTHERN,Inside,8
2011-01-18,SOUTHERN,Outside,6
2011-01-18,SOUTHWESTERN,Inside,5
2011-01-18,SOUTHWESTERN,Outside,4
2011-01-18,WESTERN,Inside,4
2011-01-19,CENTRAL,Inside,9
2011-01-19,CENTRAL,Outside,4
2011-01-19,EASTERN,Inside,5
2011-01-19,EASTERN,Outside,4
2011-01-19,NORTHEASTERN,Inside,12
2011-01-19,NORTHEASTERN,Outside,4
2011-01-19,NORTHERN,Inside,9
2011-01-19,NORTHERN,Outside,4
2011-01-19,NORTHWESTERN,Inside,9
2011-01-19,NORTHWESTERN,Outside,2
2011-01-19,SOUTHEASTERN,Inside,8
2011-01-19,SOUTHEASTERN,Outside,3
2011-01-19,SOUTHERN,Inside,6
2011-01-19,SOUTHERN,Outside,9
2011-01-19,SOUTHWESTERN,Inside,3
2011-01-19,SOUTHWESTERN,Outside,3
2011-01-19,WESTERN,Inside,10
2011-01-19,WESTERN,Outside,5
2011-01-20,CENTRAL,Inside,9
2011-01-20,CENTRAL,Outside,6
2011-01-20,EASTERN,Inside,1
2011-01-20,EASTERN,Outside,6
2011-01-20,NORTHEASTERN,Inside,20
2011-01-20,NORTHEASTERN,Outside,8
2011-01-20,NORTHERN,Inside,10
2011-01-20,NORTHERN,Outside,5
2011-01-20,NORTHWESTERN,Inside,17
2011-01-20,NORTHWESTERN,Outside,7
2011-01-20,SOUTHEASTERN,Inside,8
2011-01-20,SOUTHEASTERN,Outside,3
2011-01-20,SOUTHERN,Inside,8
2011-01-20,SOUTHERN,Outside,6
2011-01-20,SOUTHWESTERN,Inside,7
2011-01-20,SOUTHWESTERN,Outside,6
2011-01-20,WESTERN,Inside,5
2011-01-20,WESTERN,Outside,6
2011-01-21,CENTRAL,Inside,8
2011-01-21,CENTRAL,Outside,4
2011-01-21,EASTERN,Inside,3
2011-01-21,EASTERN,Outside,5
2011-01-21,NORTHEASTERN,Inside,8
2011-01-21,NORTHEASTERN,Outside,4
2011-01-21,NORTHERN,Inside,9
2011-01-21,NORTHERN,Outside,4
2011-01-21,NORTHWESTERN,Inside,11
2011-01-21,NORTHWESTERN,Outside,6
2011-01-21,SOUTHEASTERN,Inside,9
2011-01-21,SOUTHEASTERN,Outside,7
2011-01-21,SOUTHERN,Inside,8
2011-01-21,SOUTHERN,Outside,8
2011-01-21,SOUTHWESTERN,Inside,5
2011-01-21,SOUTHWESTERN,Outside,4
2011-01-21,WESTERN,Inside,7
2011-01-21,WESTERN,Outside,6
2011-01-22,CENTRAL,Inside,6
2011-01-22,CENTRAL,Outside,6
2011-01-22,EASTERN,Inside,3
2011-01-22,EASTERN,Outside,5
2011-01-22,NORTHEASTERN,Inside,17
2011-01-22,NORTHEASTERN,Outside,4
2011-01-22,NORTHERN,Inside,11
2011-01-22,NORTHERN,Outside,12
2011-01-22,NORTHWESTERN,Inside,4
2011-01-22,NORTHWESTERN,Outside,2
2011-01-22,SOUTHEASTERN,Inside,4
2011-01-22,SOUTHEASTERN,Outside,8
2011-01-22,SOUTHERN,Inside,7
2011-01-22,SOUTHERN,Outside,7
2011-01-22,SOUTHWESTERN,Inside,7
2011-01-22,SOUTHWESTERN,Outside,5
2011-01-22,WESTERN,Inside,9
2011-01-22,WESTERN,Outside,4
2011-01-23,CENTRAL,Inside,11
2011-01-23,CENTRAL,Outside,5
2011-01-23,EASTERN,Inside,1
2011-01-23,EASTERN,Outside,7
2011-01-23,NORTHEASTERN,Inside,16
2011-01-23,NORTHEASTERN,Outside,5
2011-01-23,NORTHERN,Inside,10
2011-01-23,NORTHERN,Outside,7
2011-01-23,NORTHWESTERN,Inside,5
2011-01-23,NORTHWESTERN,Outside,6
2011-01-23,SOUTHEASTERN,Inside,3
2011-01-23,SOUTHEASTERN,Outside,3
2011-01-23,SOUTHERN,Inside,8
2011-01-23,SOUTHERN,Outside,7
2011-01-23,SOUTHWESTERN,Inside,2
2011-01-23,SOUTHWESTERN,Outside,3
2011-01-23,WESTERN,Inside,2
2011-01-23,WESTERN,Outside,4
2011-01-24,CENTRAL,Inside,5
2011-01-24,CENTRAL,Outside,8
2011-01-24,EASTERN,Inside,3
2011-01-24,EASTERN,Outside,2
2011-01-24,NORTHEASTERN,Inside,14
2011-01-24,NORTHEASTERN,Outside,10
2011-01-24,NORTHERN,Inside,5
2011-01-24,NORTHERN,Outside,6
2011-01-24,NORTHWESTERN,Inside,4
2011-01-24,NORTHWESTERN,Outside,4
2011-01-24,SOUTHEASTERN,Inside,3
2011-01-24,SOUTHEASTERN,Outside,11
2011-01-24,SOUTHERN,Inside,9
